date,lat,lon,time
10/06/2018,51.5073,-0.12755,Midday
11/06/2018,51.5454571,-0.141545,Afternoon Rush
09/06/2018,51.5227488,-0.1064032,Midday
10/06/2018,51.5800787,0.1793839,Afternoon Rush
11/06/2018,51.4094079,-0.3030746,Evening
09/06/2018,51.4533088,-0.1205905,Midday
10/06/2018,51.4445145,-0.0516779,Evening
11/06/2018,51.5270488,-0.055496,Midday
09/06/2018,51.5902028,-0.0170448,Afternoon Rush
10/06/2018,51.5757636,-0.2041651,Evening
11/06/2018,51.5860968,-0.2655059,Midday
09/06/2018,51.5905429,-0.1626891,Midday
10/06/2018,51.5862929,-0.0871491,Midday
11/06/2018,51.5298416,0.1384548,Evening
09/06/2018,51.5101602,-0.287387,Evening
10/06/2018,51.509151,-0.083189,Midday
11/06/2018,51.4493611,-0.074535,Afternoon Rush
09/06/2018,51.592618,-0.287885,Midday
10/06/2018,51.5613977,-0.2557734,Midday
11/06/2018,51.5398261,-0.1248492,Midday
09/06/2018,51.5904557,-0.1034463,Evening
10/06/2018,51.542141,-0.055278,Midday
11/06/2018,51.583896,-0.1467726,Afternoon Rush
09/06/2018,51.5904557,-0.1034463,Midday
10/06/2018,51.546324,-0.24984,Afternoon Rush
11/06/2018,51.5181199,-0.2111263,Midday
09/06/2018,51.4579512,-0.0131307,Afternoon Rush
10/06/2018,51.5722283,0.141995,Afternoon Rush
11/06/2018,51.5754784,0.0435973,Early Morning
09/06/2018,51.495076,-0.099071,Midday
10/06/2018,51.4595718,-0.203961,Midday
11/06/2018,51.5051083,-0.0178481,Midday
09/06/2018,51.6306315,0.0158703,Midday
10/06/2018,51.5960901,-0.0064546,Midday
11/06/2018,51.5445812,-0.2608324,Morning Rush
09/06/2018,51.5308579,-0.0401927,Midday
10/06/2018,51.4043633,-0.3041783,Midday
11/06/2018,51.4732351,-0.1216686,Midday
09/06/2018,51.5457863,-0.3414345,Early Morning
10/06/2018,51.4065336,-0.1827256,Midday
11/06/2018,51.495076,-0.099071,Midday
09/06/2018,51.51745,-0.15538,Morning Rush
10/06/2018,51.5149195,-0.1917965,Afternoon Rush
11/06/2018,51.636479,-0.0674332,Midday
09/06/2018,51.3706652,-0.2078867,Afternoon Rush
10/06/2018,51.5423188,-0.1557706,Morning Rush
11/06/2018,51.462046,0.1106432,Morning Rush
09/06/2018,51.5149226,-0.1448236,Midday
10/06/2018,51.4086385,-0.0595237,Evening
11/06/2018,51.52639,-0.312462,Midday
09/06/2018,51.5069515,-0.1360202,Midday
10/06/2018,51.4840259,-0.2070594,Morning Rush
11/06/2018,51.4944878,-0.2303757,Midday
09/06/2018,51.4801638,-0.1962955,Morning Rush
10/06/2018,51.5073509,-0.1277583,Midday
11/06/2018,51.4732351,-0.1216686,Morning Rush
09/06/2018,51.4973154,-0.0990542,Evening
10/06/2018,51.4855634,-0.0703596,Midday
11/06/2018,51.4927574,-0.0476965,Morning Rush
09/06/2018,51.5350054,-0.0700985,Morning Rush
10/06/2018,51.5024427,-0.110216,Evening
11/06/2018,51.5763589,-0.2236956,Evening
09/06/2018,51.3595352,0.0737066,Midday
10/06/2018,51.5961713,-0.1019737,Midday
11/06/2018,51.5965155,-0.3355175,Afternoon Rush
09/06/2018,51.5810004,-0.3392733,Afternoon Rush
10/06/2018,51.530965,-0.2686757,Afternoon Rush
11/06/2018,51.5213288,-0.168064,Midday
09/06/2018,51.47347,-0.12238,Afternoon Rush
10/06/2018,51.5459123,-0.2516676,Morning Rush
11/06/2018,51.5325988,0.015124,Evening
09/06/2018,51.5689989,0.0236649,Midday
10/06/2018,51.4762648,-0.0871271,Early Morning
11/06/2018,51.495076,-0.099071,Afternoon Rush
09/06/2018,51.5324534,0.0910179,Evening
10/06/2018,51.5432291,-0.0890937,Midday
11/06/2018,51.3595352,0.0737066,Morning Rush
09/06/2018,51.5481714,-0.1300147,Midday
10/06/2018,51.475583,0.086361,Evening
11/06/2018,51.4594122,-0.1038738,Morning Rush
09/06/2018,51.6250811,-0.0607804,Midday
10/06/2018,51.6253439,-0.0584293,Midday
11/06/2018,51.6360089,-0.0515004,Midday
